bench,alloc_type,total,bit_pos,p_one,entropy
cactus,32bits,323,33,0.0,0.0
cactus,32bits,323,34,0.0,0.0
cactus,32bits,323,35,0.0,0.0
cactus,32bits,323,36,0.0,0.0
cactus,32bits,323,37,0.0,0.0
cactus,32bits,323,38,0.0,0.0
cactus,32bits,323,39,0.0,0.0
cactus,32bits,323,40,0.0,0.0
cactus,32bits,323,41,0.0,0.0
cactus,32bits,323,42,0.0,0.0
cactus,32bits,323,43,0.0,0.0
cactus,32bits,323,44,0.0,0.0
cactus,32bits,323,45,0.0,0.0
cactus,32bits,323,46,0.0,0.0
cactus,32bits,323,47,0.0,0.0
cactus,32bits,323,48,0.0,0.0
cactus,32bits,323,49,0.0,0.0
cactus,32bits,323,50,0.0,0.0
cactus,32bits,323,51,0.0,0.0
cactus,32bits,323,52,0.0,0.0
cactus,32bits,323,53,0.0,0.0
cactus,32bits,323,54,0.0,0.0
cactus,32bits,323,55,0.0,0.0
cactus,32bits,323,56,0.0,0.0
cactus,32bits,323,57,0.0,0.0
cactus,32bits,323,58,0.0,0.0
cactus,32bits,323,59,0.0,0.0
cactus,32bits,323,60,0.0,0.0
cactus,32bits,323,61,0.0,0.0
cactus,32bits,323,62,0.0,0.0
cactus,32bits,323,63,0.0,0.0
cactus,64bits,312498020,0,0.28191512701424476,0.8580472000499109
cactus,64bits,312498020,1,0.31664487026189797,0.9006954924540655
cactus,64bits,312498020,2,0.32176670751385883,0.906292349526499
cactus,64bits,312498020,3,0.32745383474749695,0.9123037896222458
cactus,64bits,312498020,4,0.33001995340642476,0.9149467577777941
cactus,64bits,312498020,5,0.33136046109988154,0.9163103148921626
cactus,64bits,312498020,6,0.3303982246031511,0.915332719616686
cactus,64bits,312498020,7,0.33498081043841493,0.9199345079860111
cactus,64bits,312498020,8,0.33573649522643373,0.9206802717258412
cactus,64bits,312498020,9,0.32486990797573695,0.9095988916314338
cactus,64bits,312498020,10,0.33462457458130457,0.9195816666114408
cactus,64bits,312498020,11,0.3398411580335773,0.9246666230151042
cactus,64bits,312498020,12,0.3240369170979067,0.908717550439706
cactus,64bits,312498020,13,0.33392463734650224,0.9188860034475872
cactus,64bits,312498020,14,0.32852436953040537,0.9134116188787671
cactus,64bits,312498020,15,0.32493923641500194,0.9096720383625104
cactus,64bits,312498020,16,0.33330979505086145,0.9182722939735124
cactus,64bits,312498020,17,0.3306002866834164,0.9155385074497508
cactus,64bits,312498020,18,0.34041114244499854,0.9252115967611624
cactus,64bits,312498020,19,0.32591867622073256,0.9107020448656251
cactus,64bits,312498020,20,0.3270890868364542,0.911924620775114
cactus,64bits,312498020,21,0.34493658551820583,0.9294645213799999
cactus,64bits,312498020,22,0.32296875673004266,0.9075807009235316
cactus,64bits,312498020,23,0.3394291618231693,0.9242714042975291
cactus,64bits,312498020,24,0.328177106530147,0.9130530801094625
cactus,64bits,312498020,25,0.3423840893455901,0.9270818640453904
cactus,64bits,312498020,26,0.3426091019712701,0.9272935803903941
cactus,64bits,312498020,27,0.3251613850225355,0.90990620897648
cactus,64bits,312498020,28,0.34576527236876575,0.9302291166723377
cactus,64bits,312498020,29,0.34132797065402204,0.9260838162978657
