bench,addr,generation,alloc_type,alloc_size,offset,writes,pct_of_buffer,pct_of_bench
namd,0x54951c0,1,64bits,16512,2240,2551,0.12948186949283308,0.00021334263399054796
namd,0x54910e0,1,64bits,16512,2272,2671,0.13570251326541602,0.00022337835177920563
namd,0x54910e0,1,64bits,16512,2256,2671,0.13570251326541602,0.00022337835177920563
namd,0x54910e0,1,64bits,16512,2264,2671,0.13570251326541602,0.00022337835177920563
namd,0x54910e0,1,64bits,16512,2248,2535,0.128792913189004,0.0002120045382853936
namd,0x54910e0,1,64bits,16512,2240,2535,0.128792913189004,0.0002120045382853936
namd,0x5482800,1,64bits,17232,2336,2599,0.13429900466816933,0.00021735692110601103
namd,0x5482800,1,64bits,17232,2328,2599,0.13429900466816933,0.00021735692110601103
namd,0x5482800,1,64bits,17232,2344,2599,0.13429900466816933,0.00021735692110601103
namd,0x5482800,1,64bits,17232,2232,2571,0.13285215121272156,0.0002150152536219909
namd,0x5482800,1,64bits,17232,2240,2571,0.13285215121272156,0.0002150152536219909
namd,0x547e440,1,64bits,17232,2344,2599,0.134419029472885,0.00021735692110601103
namd,0x547e440,1,64bits,17232,2336,2599,0.134419029472885,0.00021735692110601103
namd,0x547e440,1,64bits,17232,2328,2599,0.134419029472885,0.00021735692110601103
namd,0x547e440,1,64bits,17232,2248,2567,0.13276400486990989,0.00021468072969570232
namd,0x547e440,1,64bits,17232,2240,2567,0.13276400486990989,0.00021468072969570232
omnetpp,0x10a53ec0,1,64bits,262152,8,4325415,7.342887179477865,4.734554977237568
omnetpp,0x10a53ec0,1,64bits,262152,24,3133210,5.3189826963682885,3.4295795895262122
omnetpp,0x10a53ec0,1,64bits,262152,48,1707000,2.8978279345146567,1.8684647244587003
omnetpp,0x10a53ec0,1,64bits,262152,56,1434980,2.4360428409313664,1.570714417283975
omnetpp,0x10a53ec0,1,64bits,262152,104,1416710,2.40502742419816,1.5507162623244788
omnetpp,0x17cbe740,1,object,4096,2780,4422,0.024424665730884924,0.004840275929441343
omnetpp,0x17cbe740,1,object,4096,2762,4422,0.024424665730884924,0.004840275929441343
omnetpp,0x17cbe740,1,object,4096,2783,4422,0.024424665730884924,0.004840275929441343
omnetpp,0x17cbe740,1,object,4096,2761,4422,0.024424665730884924,0.004840275929441343
omnetpp,0x17cbe740,1,object,4096,2763,4422,0.024424665730884924,0.004840275929441343
omnetpp,0x4eabb40,2,64bits,5024,5008,29062,24.882701462378847,0.031810967675582155
